created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:50:54 +0000 2024;1785275632370528448;"Lagi penting vape bodoh kau dri barang dapur pasir kucing, kau kalau tak mampu kau tkpayah kahwin";0;0;0;0;in;1685152887847137281;1785275632370528448;tiredbiatch__;https://twitter.com/tiredbiatch__/status/1785275632370528448
Tue Apr 30 11:50:52 +0000 2024;1785275625714118997;"temen-temenku tau banget kalo aku tuh takut banget sama kucing tapi makin kesini malah suka ngomong sama kucing somehow kek ngerti gitu loh aku ngomong apa😩 ini namanya uti, kucing komplek yang suka dikasih makan sama mamah dan adikku secara ga langsung jadi kucing peliharaan di… https://t.co/fA83yGdWFA";0;0;0;1;in;188367502;1785275625714118997;VRA_RD;https://twitter.com/VRA_RD/status/1785275625714118997
Tue Apr 30 11:50:51 +0000 2024;1785275621901578700;"Ia langsung berlari keluar rumah dan memberitahu sepupu2nya yang lain tentang apa yang ia lihat didalam.   "Jadi, dia makan kucing hidup??"";0;1;0;1;in;1185163272032403458;1781610625229258880;rasth140217;https://twitter.com/rasth140217/status/1785275621901578700
Tue Apr 30 11:50:50 +0000 2024;1785275617833075013;"Di depannya terdapat seekor kucing yang sudah tidak bernyawa.   Anto yang juga ikut rebutan masuk dengan orang2 langsung melotot melihat pemandangan tersebut.";0;1;0;1;in;1185163272032403458;1781610625229258880;rasth140217;https://twitter.com/rasth140217/status/1785275617833075013
Tue Apr 30 11:50:46 +0000 2024;1785275597935272136;"@zale26028774 Namanya jg kucing😹😹";0;0;0;0;in;1403581036999561220;1785122392727339345;imprincedino;https://twitter.com/imprincedino/status/1785275597935272136
Tue Apr 30 11:50:45 +0000 2024;1785275597222207758;"ada kucing oneng https://t.co/UXriLoyWOk";0;0;0;0;in;1640329105135767552;1785275597222207758;cielestrose;https://twitter.com/cielestrose/status/1785275597222207758
Tue Apr 30 11:50:45 +0000 2024;1785275595141824781;"dunia jahat yg baik cuma kucing https://t.co/as5b9WYuRa";0;0;0;3;in;1680905594407124992;1785275595141824781;kkurommy;https://twitter.com/kkurommy/status/1785275595141824781
Tue Apr 30 11:50:45 +0000 2024;1785275593933955475;"@virtualballers INDONESIA EMAS 2045🔥🔥🔥🇮🇩";0;0;0;0;in;1561012923404693505;1785128388644261903;cuapcuapohyeah;https://twitter.com/cuapcuapohyeah/status/1785275593933955475
Tue Apr 30 11:50:37 +0000 2024;1785275562384412964;"Gue ga boong. Minus kaos anime sama kuping kucing. https://t.co/VAlSb6Umdc";0;0;0;0;in;1553198422299095040;1785275562384412964;faruzon;https://twitter.com/faruzon/status/1785275562384412964
Tue Apr 30 11:50:36 +0000 2024;1785275558722691400;"@_alcagth KAU PIKIR KUCING KAK ARA G DITINGGAL KERJA KH";0;1;0;0;in;1097349096849825792;1785270096992370773;dndelionss;https://twitter.com/dndelionss/status/1785275558722691400
Tue Apr 30 11:50:16 +0000 2024;1785275472437498181;"dulu takut bgt sama kucing entah gimana cerita nya ada kucing yg ngikutin ade dari masjid trs dirumah mulu masuk rumah aing mah udh mau nangis mulu di rumah tiap ada belang trs yauda lama lama kebiasa sama dia tapi ttp takut dikit klo dia nguap🙂";0;0;0;0;in;1171070704386621441;1785275472437498181;ikgf244;https://twitter.com/ikgf244/status/1785275472437498181
Tue Apr 30 11:50:07 +0000 2024;1785275434290266527;"Imigran dari Yaman nih.  Anjenk! https://t.co/y3zyrDVeLL";0;0;0;0;in;834330686064513024;1785275434290266527;shupesyaru;https://twitter.com/shupesyaru/status/1785275434290266527
Tue Apr 30 11:49:57 +0000 2024;1785275392397656506;"ternyata penyebab insomniaku selama ini adalah tiktok. huaa";0;0;0;0;in;240623304;1785275392397656506;xxxnswdy;https://twitter.com/xxxnswdy/status/1785275392397656506
Tue Apr 30 11:49:54 +0000 2024;1785275382192886025;"@teko_ajaiib Ikut ke surga";0;0;0;0;in;1604443360885805061;1785156556637814908;TaryokoL;https://twitter.com/TaryokoL/status/1785275382192886025
Tue Apr 30 11:49:39 +0000 2024;1785275320859586649;"Min @PT_Transjakarta 6k posisi dimana yang arah kuningan? Saya di standard";0;0;0;0;in;105349283;1785275320859586649;kucing_beo;https://twitter.com/kucing_beo/status/1785275320859586649
Tue Apr 30 11:49:38 +0000 2024;1785275314786189713;"JANGAN SOMBONG SANGAT LAH  DINI DENGAN LUQMAN TU!!! DIA JAUH LEBIH ELOK DARI SI KUCING TU WEI!!! 😭😭😭   #WanitaSyurga";0;0;0;2;in;1143794514168971264;1785275314786189713;_BrightShine_;https://twitter.com/_BrightShine_/status/1785275314786189713
Tue Apr 30 11:49:24 +0000 2024;1785275256787345742;"@MyNameIsJE1 halo Je ganteng penguasa kucing oyen yang suka meong meong ituuuu";0;0;0;0;in;1677243614;1785270013672448238;reminitial;https://twitter.com/reminitial/status/1785275256787345742
Tue Apr 30 11:49:18 +0000 2024;1785275230786814043;"@AirdropKing1255 @SenderLabs Kenapa kucing oren bersedih? 😅🤣";0;0;0;0;in;1733089514229526528;1785129429142036515;daniswarairdrop;https://twitter.com/daniswarairdrop/status/1785275230786814043
